"Code","LastDate"
"3062.TW","2020-04-21"
"3090.TW","2020-04-21"
"3094.TW","2020-04-21"
"3130.TW","2020-04-21"
"3149.TW","2020-04-21"
"3164.TW","2020-04-21"
"3167.TW","2020-04-21"
"3189.TW","2020-04-21"
"3209.TW","2020-04-21"
"3229.TW","2020-04-21"
"3231.TW","2020-04-21"
"3257.TW","2020-04-21"
"3266.TW","2020-04-21"
"3296.TW","2020-04-21"
"3305.TW","2020-04-21"
"3308.TW","2020-04-21"
"3311.TW","2020-04-21"
"3312.TW","2020-04-21"
"3321.TW","2020-04-21"
"3338.TW","2020-04-21"
"3346.TW","2020-04-21"
"3356.TW","2020-04-21"
"3376.TW","2020-04-21"
"3380.TW","2020-04-21"
"3383.TW","2020-04-21"
"3406.TW","2020-04-21"
"3413.TW","2020-04-21"
"3416.TW","2020-04-21"
"3419.TW","2020-04-21"
"3432.TW","2020-04-21"
"3437.TW","2020-04-21"
"3443.TW","2020-04-21"
"3450.TW","2020-04-21"
"3454.TW","2020-04-21"
"3481.TW","2020-04-21"
"3494.TW","2020-04-21"
"3501.TW","2020-04-21"
"3504.TW","2020-04-21"
"3515.TW","2020-04-21"
"3518.TW","2020-04-21"
"3528.TW","2020-04-21"
"3530.TW","2020-04-21"
"3532.TW","2020-04-21"
"3533.TW","2020-04-21"
"3535.TW","2020-04-21"
"3536.TW","2020-04-21"
"3543.TW","2020-04-21"
"3545.TW","2020-04-21"
"3550.TW","2020-04-21"
"3557.TW","2020-04-21"
"3563.TW","2020-04-21"
"3576.TW","2020-04-21"
"3583.TW","2020-04-21"
"3588.TW","2020-04-21"
"3591.TW","2020-04-21"
"3593.TW","2020-04-21"
"3596.TW","2020-04-21"
"3605.TW","2020-04-21"
"3607.TW","2020-04-21"
"3617.TW","2020-04-21"
"3622.TW","2020-04-21"
"3645.TW","2020-04-21"
"3653.TW","2020-04-21"
"3661.TW","2020-04-21"
"3665.TW","2020-04-21"
"3669.TW","2020-04-21"
"3673.TW","2020-04-21"
"3679.TW","2020-04-21"
"3682.TW","2020-04-21"
"3686.TW","2020-04-21"
"3694.TW","2020-04-21"
"3698.TW","2020-04-21"
"3701.TW","2020-04-21"
"3702.TW","2020-04-21"
"3703.TW","2020-04-21"
"3704.TW","2020-04-21"
"3705.TW","2020-04-21"
"3706.TW","2020-04-21"
"3708.TW","2020-04-21"
"3711.TW","2020-04-21"
"3712.TW","2020-04-21"
"4104.TW","2020-04-21"
"4106.TW","2020-04-21"
"4108.TW","2020-04-21"
"4119.TW","2020-04-21"
"4133.TW","2020-04-21"
"4137.TW","2020-04-21"
"4141.TW","2020-04-21"
"4142.TW","2020-04-21"
"4144.TW","2020-04-21"
"4148.TW","2020-04-21"
"4155.TW","2020-04-21"
"4164.TW","2020-04-21"
"4190.TW","2020-04-21"
"4306.TW","2020-04-21"
"4414.TW","2020-04-21"
"4426.TW","2020-04-21"
"4438.TW","2020-04-21"
"4439.TW","2020-04-21"
"4526.TW","2020-04-21"
"4532.TW","2020-04-21"
"4536.TW","2020-04-21"
"4540.TW","2020-04-21"
"4545.TW","2020-04-21"
"4551.TW","2020-04-21"
"4552.TW","2020-04-21"
"4555.TW","2020-04-21"
"4557.TW","2020-04-21"
"4560.TW","2020-04-21"
"4562.TW","2020-04-21"
"4564.TW","2020-04-21"
"4566.TW","2020-04-21"
"4571.TW","2020-04-21"
"4572.TW","2020-04-21"
"4576.TW","2020-04-21"
"4581.TW","2020-04-21"
"4720.TW","2020-04-21"
"4722.TW","2020-04-21"
"4725.TW","2020-04-21"
"4737.TW","2020-04-21"
"4739.TW","2020-04-21"
"4746.TW","2020-04-21"
"4755.TW","2020-04-21"
"4763.TW","2020-04-21"
"4764.TW","2020-04-21"
"4766.TW","2020-04-21"
"4807.TW","2020-04-21"
"4904.TW","2020-04-21"
"4906.TW","2020-04-21"
"4912.TW","2020-04-21"
"4915.TW","2020-04-21"
"4916.TW","2020-04-21"
"4919.TW","2020-04-21"
"4927.TW","2020-04-21"
"4930.TW","2020-04-21"
"4934.TW","2020-04-21"
"4935.TW","2020-04-21"
"4938.TW","2020-04-21"
"4942.TW","2020-04-21"
"4943.TW","2020-04-21"
"4952.TW","2020-04-21"
"4956.TW","2020-04-21"
"4958.TW","2020-04-21"
"4960.TW","2020-04-21"
"4961.TW","2020-04-21"
"4967.TW","2020-04-21"
"4968.TW","2020-04-21"
"4976.TW","2020-04-21"
"4977.TW","2020-04-21"
"4989.TW","2020-04-21"
"4994.TW","2020-04-21"
"4999.TW","2020-04-21"
"5007.TW","2020-04-21"
"5203.TW","2020-04-21"
"5215.TW","2020-04-21"
"5225.TW","2020-04-21"
"5234.TW","2020-04-21"
"5243.TW","2020-04-21"
"5258.TW","2020-04-21"
"5264.TW","2020-04-21"
"5269.TW","2020-04-21"
"5283.TW","2020-04-21"
"5284.TW","2020-04-21"
"5285.TW","2020-04-21"
"5288.TW","2020-04-21"
"5305.TW","2020-04-21"
"5388.TW","2020-04-21"
"5434.TW","2020-04-21"
"5469.TW","2020-04-21"
"5471.TW","2020-04-21"
"5484.TW","2020-04-21"
"5515.TW","2020-04-21"
"5519.TW","2020-04-21"
"5521.TW","2020-04-21"
"5522.TW","2020-04-21"
"5525.TW","2020-04-21"
"5531.TW","2020-04-21"
"5533.TW","2020-04-21"
"5534.TW","2020-04-21"
"5538.TW","2020-04-21"
"5607.TW","2020-04-21"
"5608.TW","2020-04-21"
"5706.TW","2020-04-21"
"5871.TW","2020-04-21"
"5876.TW","2020-04-21"
"5880.TW","2020-04-21"
"5906.TW","2020-04-21"
"5907.TW","2020-04-21"
"6005.TW","2020-04-21"
"6024.TW","2020-04-21"
"6108.TW","2020-04-21"
"6112.TW","2020-04-21"
"6115.TW","2020-04-21"
"6116.TW","2020-04-21"
"6117.TW","2020-04-21"
"6120.TW","2020-04-21"
"6128.TW","2020-04-21"
"6131.TW","2020-04-21"
"6133.TW","2020-04-21"
"6136.TW","2020-04-21"
"6139.TW","2020-04-21"
"6141.TW","2020-04-21"
"6142.TW","2020-04-21"
"6152.TW","2020-04-21"
"6153.TW","2020-04-21"
"6155.TW","2020-04-21"
"6164.TW","2020-04-21"
"6165.TW","2020-04-21"
"6166.TW","2020-04-21"
"6168.TW","2020-04-21"
"6172.TW","2020-04-21"
"6176.TW","2020-04-21"
"6177.TW","2020-04-21"
"6183.TW","2020-04-21"
"6184.TW","2020-04-21"
"6189.TW","2020-04-21"
"6191.TW","2020-04-21"
"6192.TW","2020-04-21"
"6196.TW","2020-04-21"
"6197.TW","2020-04-21"
"6201.TW","2020-04-21"
"6202.TW","2020-04-21"
"6205.TW","2020-04-21"
"6206.TW","2020-04-21"
"6209.TW","2020-04-21"
"6213.TW","2020-04-21"
"6214.TW","2020-04-21"
"6215.TW","2020-04-21"
"6216.TW","2020-04-21"
"6224.TW","2020-04-21"
"6225.TW","2020-04-21"
"6226.TW","2020-04-21"
"6230.TW","2020-04-21"
"6235.TW","2020-04-21"
"6239.TW","2020-04-21"
"6243.TW","2020-04-21"
"6251.TW","2020-04-21"
"6257.TW","2020-04-21"
"6269.TW","2020-04-21"
"6271.TW","2020-04-21"
"6277.TW","2020-04-21"
"6278.TW","2020-04-21"
"6281.TW","2020-04-21"
"6282.TW","2020-04-21"
"6283.TW","2020-04-21"
"6285.TW","2020-04-21"
"6288.TW","2020-04-21"
"6289.TW","2020-04-21"
"6405.TW","2020-04-21"
"6409.TW","2020-04-21"
"6412.TW","2020-04-21"
"6414.TW","2020-04-21"
"6415.TW","2020-04-21"
"6416.TW","2020-04-21"
"6431.TW","2020-04-21"
"6442.TW","2020-04-21"
"6443.TW","2020-04-21"
"6449.TW","2020-04-21"
"6451.TW","2020-04-21"
"6452.TW","2020-04-21"
"6456.TW","2020-04-21"
"6464.TW","2020-04-21"
"6477.TW","2020-04-21"
"6491.TW","2020-04-21"
"6504.TW","2020-04-21"
"6505.TW","2020-04-21"
"6525.TW","2020-04-21"
"6531.TW","2020-04-21"
"6533.TW","2020-04-21"
"6541.TW","2020-04-21"
"6552.TW","2020-04-21"
"6558.TW","2020-04-21"
"6573.TW","2020-04-21"
"6579.TW","2020-04-21"
"6581.TW","2020-04-21"
"6582.TW","2020-04-21"
"6591.TW","2020-04-21"
"6592.TW","2020-04-21"
"6605.TW","2020-04-21"
"6625.TW","2020-04-21"
"6641.TW","2020-04-21"
"6655.TW","2020-04-21"
"6666.TW","2020-04-21"
"6668.TW","2020-04-21"
"6669.TW","2020-04-21"
"6670.TW","2020-04-21"
"6671.TW","2020-04-21"
"6672.TW","2020-04-21"
"6674.TW","2020-04-21"
"6698.TW","2020-04-21"
"6706.TW","2020-04-21"
"6715.TW","2020-04-21"
"8011.TW","2020-04-21"
"8016.TW","2020-04-21"
"8021.TW","2020-04-21"
"8028.TW","2020-04-21"
"8033.TW","2020-04-21"
"8039.TW","2020-04-21"
